Dist Code,Year,State_Code,State_Name,Dist_Name,Yearwise_rainfalll (L/m2),Ground water(HAM),Reservoir ,Total_Water_Availability,Water_per_hectare,Irrigatable_land 
67,2011,5,Karnataka,Mysore,97.054,578,581,30275,1.54935149,262140
68,2011,5,Karnataka,Mandya,688.53,15409,65032,2146031,8.624659902,248825
73,2011,5,Karnataka,Bellary,640.03,15583,26021,1961694,7.40820997,264800
75,2011,5,Karnataka,Belgaum,1438.78,27039,65092,4408471,16.68990308,264140
67,2012,5,Karnataka,Mysore,66.585,394,598,2096823.796,2.998870054,262140
68,2012,5,Karnataka,Mandya,478.33,26829.73,63001,1524820.73,6.128084919,248825
73,2012,5,Karnataka,Bellary,460.21,18197.725,27123,1425950.725,5.385010291,264800
75,2012,5,Karnataka,Belgaum,931.04,26111.0305,68012,2887243.031,10.93073003,264140
67,2013,5,Karnataka,Mysore,92.094,211,548,2838896.592,1.82969631,262140
68,2013,5,Karnataka,Mandya,666.96,38050.46,64021,2102951.46,8.451528022,248825
73,2013,5,Karnataka,Bellary,682.04,21012.45,23412,2090544.45,7.894805325,264800
75,2013,5,Karnataka,Belgaum,1256.96,24983.061,66029,3861892.061,14.62062566,264140
67,2014,5,Karnataka,Mysore,115.695,224,567,3550126.751,1.54286546,262140
68,2014,5,Karnataka,Mandya,820.45,33270.6,61093,2555713.6,10.2711287,248825
73,2014,5,Karnataka,Bellary,688.53,17093.4,25645,2108328.4,7.961965257,264800
75,2014,5,Karnataka,Belgaum,1503.57,26872.54,68523,4606105.54,17.43812198,264140
67,2015,5,Karnataka,Mysore,107.487,239,581,3306710.91,1.61429355,262140
68,2015,5,Karnataka,Mandya,771.84,28290.74,63092,2406902.74,9.67307441,248825
73,2015,5,Karnataka,Bellary,511.88,13374.35,28967,1577981.35,9.959144071,264800
75,2015,5,Karnataka,Belgaum,910.02,28562.02,68012,2826634.02,15.70127213,264140
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,1mm of rainfall = 10000L/hectare ,,,,,,
